섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
가정용 가구 소매,53403030,301376,Ziel Home Furnishing Technology Co Ltd Class A,szse,2026-05-20,18.87,19.61,18.63,19.21,0.60,3.22,"5,030,245",96,N/A
반도체,57101010,002056,Hengdian Group DMEGC Magnetics Co Ltd Class A,szse,2026-07-01,30.76,33.73,29.11,32.82,2.16,7.05,"125,844,393","4,130",N/A
반도체,57101010,300223,Ingenic Semiconductor Co Ltd Class A,szse,2026-07-01,259.05,268.88,237.78,259.56,24.89,10.61,"56,658,314","14,706",N/A
반도체,57101010,300345,Hunan Huamin Holdings Co Ltd Class A,szse,2026-07-02,7.45,8.38,7.19,7.79,0.34,4.56,"96,855,845",754,N/A
반도체,57101010,300671,Fine Made Microelectronics Group Co Ltd Class A,szse,2026-07-02,92.24,102.32,93.97,94.35,2.11,2.29,"34,430,924","3,248",N/A
산업용 기계 및 장비,52102010,002520,ZheJiang RIFA Precision Machinery Co Ltd Class A,szse,2026-06-24,7.56,7.72,7.10,7.72,0.70,9.97,"67,087,730",517,N/A
산업용 기계 및 장비,52102010,002747,Estun Automation Co Ltd Class A,szse,2026-07-01,41.06,44.77,41.02,44.77,4.07,10.0,"126,742,836","5,674",N/A
산업용 기계 및 장비,52102010,300083,Guangdong Create Century Intelligent Equipment Group Corp Ltd Class A,szse,2026-07-01,13.66,14.45,13.21,13.66,0.19,1.41,"166,642,738","2,276",N/A
산업용 기계 및 장비,52102010,300151,Shenzhen Changhong Technology Co Ltd Class A,szse,2026-06-29,25.86,27.78,25.03,26.72,1.79,7.18,"49,609,078","1,325",N/A
산업용 기계 및 장비,52102010,300508,Shanghai Weihong Electronic Technology Co Ltd Class A,szse,2026-06-22,59.64,62.87,58.22,60.81,3.59,6.27,"7,660,996",465,N/A
산업용 기계 및 장비,52102010,300607,Guangdong Topstar Technology Co Ltd Class A,szse,2026-07-01,49.48,54.84,47.81,52.96,6.32,13.55,"90,636,036","4,800",N/A
산업용 기계 및 장비,52102010,301232,Finework (HuNan) New Energy Technology Co Ltd Class A,szse,2026-05-11,177.81,188,160.58,182,19.05,11.69,"12,553,826","2,284",N/A
산업용 기계 및 장비,52102010,301596,Reach Machinery Co Ltd Class A,szse,2026-05-22,63.70,63.97,53.23,63.97,10.66,20.0,"8,040,207",514,N/A
산업용 기계 및 장비,52102010,301603,Jirfine Intelligent Equipment Co Ltd Class A,szse,2026-06-18,146.58,161.39,142.63,159.99,15.26,10.54,"7,744,891","1,239",N/A
식품 가공,54102020,300765,CSPC Innovation Pharmaceutical Co Ltd Class A,szse,2026-07-02,34.49,37.39,33.80,36.71,2.22,6.44,"40,133,695","1,473",N/A
"의료 장비, 물품 및 유통",56101020,002901,Double Medical Technology Inc Class A,szse,2026-04-14,44.66,46,43.74,45.37,1.81,4.16,"4,313,417",195,N/A
"자동차, 트럭 및 오토바이 부품",53101020,002472,Zhejiang Shuanghuan Driveline Co Ltd Class A,szse,2026-06-08,44.76,46.73,42.96,46.73,4.24,9.99,"74,641,247","3,487",N/A
"자동차, 트럭 및 오토바이 부품",53101020,002536,Feilong Auto Components Co Ltd Class A,szse,2026-06-25,51.89,51.96,47.37,51.96,4.72,9.99,"50,509,632","2,624",N/A
"자동차, 트럭 및 오토바이 부품",53101020,002965,Lucky Harvest Co Ltd Class A,szse,2026-06-26,51.88,53.50,49.13,52.60,1.42,2.77,"22,610,409","1,189",N/A
전기 부품 및 장비,52102030,000970,Beijing Zhong Ke San Huan High-Tech Co Ltd Class A,szse,2026-07-02,16.10,17,15.80,16.48,0.38,2.36,"147,168,023","2,425",N/A
전기 부품 및 장비,52102030,002979,China Leadshine Technology Co Ltd Class A,szse,2026-05-19,66.39,69.55,69.55,69.55,6.32,10.0,"5,520,605",383,N/A
전기 부품 및 장비,52102030,300503,Guangzhou Haozhi Industrial Co Ltd Class A,szse,2026-07-01,101.48,113.57,96.22,111,16.12,16.99,"53,059,063","5,889",N/A
전기 부품 및 장비,52102030,301210,Wuxi Jinyang Precision Manufacturing Co Ltd Class A,szse,2026-06-18,31.77,33.50,30.43,32.67,2.07,6.76,"9,890,665",323,N/A
전자 장비 및 부품,57104010,002025,Guizhou Space Appliance Co Ltd Class A,szse,2026-07-02,83.10,90.69,83.34,83.70,0.60,0.72,"31,638,969","2,648",N/A
전자 장비 및 부품,57104010,002600,Lingyi iTech (Guangdong) Co Class A,szse,2026-06-25,17.88,18.46,17.12,18.02,0.84,4.89,"463,536,885","8,352",N/A
전자 장비 및 부품,57104010,002635,Suzhou Anjie Technology Co Ltd Class A,szse,2026-07-01,22.50,23.36,21.42,23.36,2.12,9.98,"49,524,183","1,156",N/A
전자 장비 및 부품,57104010,002850,Shenzhen Kedali Industry Co Ltd Class A,szse,2026-04-22,206.76,226.16,205.60,226.16,20.56,10.0,"8,952,925","2,024",N/A
전자 장비 및 부품,57104010,002937,Ningbo Sunrise Elc Technology Co Ltd Class A,szse,2026-06-26,45.42,46.30,43,45.67,1.57,3.56,"12,978,039",592,N/A
전자 장비 및 부품,57104010,301051,Shenzhen Xinhao Photoelectricity Technology Co Ltd Class A,szse,2026-06-26,20.96,23.34,19.20,22.77,3.32,17.07,"36,000,389",819,N/A
전자 장비 및 부품,57104010,301328,Wcon Electronics Co Ltd Class A,szse,2026-07-02,80.66,85.98,79.11,82.31,1.65,2.05,"6,157,624",506,N/A
전자 장비 및 부품,57104010,301379,Techshine Electronics Co Ltd Class A,szse,2026-07-01,29.09,32.16,28.49,32.16,5.36,20.0,"49,524,926","1,592",N/A
제약,56201040,000566,Hainan Haiyao Co Ltd Class A,szse,2026-07-02,6.04,6.56,5.71,6.14,0.10,1.66,"358,779,225","2,202",N/A
제약,56201040,002317,Guangdong Zhongsheng Pharmaceutical Co Ltd Class A,szse,2026-07-01,26.71,27.88,25.45,27.44,0.95,3.59,"70,374,760","1,931",N/A
제약,56201040,002422,Sichuan Kelun Pharmaceutical Co Ltd Class A,szse,2026-07-02,44.75,48.08,42.93,47.98,3.23,7.22,"53,657,455","2,574",N/A
제약,56201040,300558,Betta Pharmaceuticals Co Ltd Class A,szse,2026-07-01,67.95,73.30,65.58,72.90,5.70,8.48,"28,520,176","2,079",N/A
종이 포장재,51302020,002303,MYS Group Co Ltd Class A,szse,2026-06-30,4.30,4.35,4.19,4.30,0.01,0.23,"46,313,708",199,N/A
주택 건설,53203010,301365,Matrix Design Co Ltd Class A,szse,2026-07-02,39.93,42.50,39,40.02,0.09,0.23,"9,533,463",381,N/A
중전기장비,52102040,002452,Changgao Electric Group Co Ltd Class A,szse,2026-06-25,12.93,13.25,12.58,12.93,0.36,2.86,"48,787,123",630,N/A
지상 화물 및 물류,52405030,300873,Hichain Logistics Co Ltd Class A,szse,2026-07-02,30.01,32.24,29.72,31,0.99,3.3,"42,631,039","1,321",N/A
천연가스 유틸리티,59102010,001331,Senton Energy Co Ltd Class A,szse,2026-07-01,62.02,67.76,61,63.49,1.89,3.07,"20,104,452","1,276",N/A
컴퓨터 하드웨어,57106010,002577,Shenzhen Rapoo Technology Co Ltd Class A,szse,2026-06-18,19.52,19.92,19.20,19.73,0.43,2.23,"6,625,200",130,N/A
통합 통신 서비스,57401010,301165,Ruijie Networks Co Ltd Class A,szse,2026-07-01,85.92,102.30,94.40,94.89,9.64,11.31,"47,681,589","4,524",N/A
특수 채굴 및 금속,51201050,301307,Chongqing Millison Technologies Inc Class A,szse,2026-07-02,79.28,87,78.50,81.19,1.91,2.41,"16,192,550","1,314",N/A
특수 화학제,51101030,300487,Sunresin New Materials Co Ltd Class A,szse,2026-04-17,73.10,76.76,68.30,74.58,7.08,10.49,"22,913,601","1,708",N/A
